Ball,Runs,Cumulated runs,Balls
0.1,0,0,1
0.2,0,0,2
0.3,0,0,3
0.4,0,0,4
0.5,0,0,5
0.6,0,0,6
1.1,4,4,7
1.2,0,4,8
1.3,0,4,9
1.4,0,4,10
1.5,4,8,11
1.6,0,8,12
2.1,0,8,13
2.2,0,8,14
2.3,,8,15
2.4,0,8,16
2.5,0,8,17
2.6,0,8,18
3.1,0,8,19
3.2,0,8,20
3.3,0,8,21
3.4,0,8,22
3.5,0,8,23
3.6,1,9,24
4.1,0,9,25
4.2,0,9,26
4.3,0,9,27
4.4,0,9,28
4.5,0,9,29
4.6,0,9,30
5.1,0,9,31
5.2,4,13,32
5.3,4,17,33
5.4,0,17,34
5.5,0,17,35
5.6,0,17,36
6.1,1,18,37
6.2,0,18,38
6.3,0,18,39
6.4,0,18,40
6.5,0,18,41
6.6,2,20,42
7.1,0,20,43
7.2,0,20,44
7.3,1,21,45
7.4,0,21,46
7.5,1,22,47
7.6,0,22,48
8.1,4,26,49
8.2,0,26,50
8.3,0,26,51
8.4,1,27,52
8.5,0,27,53
8.6,0,27,54
9.1,0,27,55
9.2,0,27,56
9.3,0,27,57
9.4,0,27,58
9.5,1,28,59
9.6,0,28,60
10.1,1,29,61
10.2,0,29,62
10.3,1,30,63
10.4,1,31,64
10.5,0,31,65
10.6,0,31,66
11.1,1,32,67
11.2,0,32,68
11.3,4,36,69
11.4,0,36,70
11.5,0,36,71
11.6,4,40,72
12.1,0,40,73
12.2,0,40,74
12.3,1,41,75
12.4,1,42,76
12.5,0,42,77
12.6,1,43,78
13.1,2,45,79
13.2,2,47,80
13.3,0,47,81
13.4,0,47,82
13.5,4,51,83
13.6,0,51,84
14.1,1,52,85
14.2,0,52,86
14.3,1,53,87
14.4,0,53,88
14.5,0,53,89
14.6,0,53,90
15.1,2,55,91
15.2,0,55,92
15.3,1,56,93
15.4,1,57,94
15.5,0,57,95
15.6,0,57,96
16.1,1,58,97
16.2,4,62,98
16.3,0,62,99
16.4,1,63,100
16.5,4,67,101
16.6,0,67,102
17.1,0,67,103
17.2,1,68,104
17.3,0,68,105
17.4,1,69,106
17.5,0,69,107
17.6,2,71,108
18.1,0,71,109
18.2,1,72,110
18.3,0,72,111
18.4,0,72,112
18.5,1,73,113
18.6,1,74,114
19.1,1,75,115
19.2,1,76,116
19.3,0,76,117
19.4,1,77,118
19.5,4,81,119
19.6,2,83,120
20.1,4,87,121
20.2,0,87,122
20.3,0,87,123
20.4,1,88,124
20.5,1,89,125
20.6,4,93,126
21.1,1,94,127
21.2,0,94,128
21.3,0,94,129
21.4,4,98,130
21.5,1,99,131
21.6,1,100,132
22.1,1,101,133
22.2,0,101,134
22.3,1,102,135
22.4,1,103,136
22.5,0,103,137
22.6,4,107,138
23.1,1,108,139
23.2,2,110,140
23.3,1,111,141
23.4,0,111,142
23.5,1,112,143
23.6,0,112,144
24.1,4,116,145
24.2,1,117,146
24.3,1,118,147
24.4,1,119,148
24.5,0,119,149
24.6,1,120,150
25.1,4,124,151
25.2,4,128,152
25.3,4,132,153
25.4,0,132,154
25.5,0,132,155
25.6,1,133,156
26.1,4,137,157
26.2,1,138,158
26.3,1,139,159
26.4,1,140,160
26.5,0,140,161
26.6,0,140,162
27.1,0,140,163
27.2,0,140,164
27.3,1,141,165
27.4,1,142,166
27.5,1,143,167
27.6,1,144,168
28.1,2,146,169
28.2,,146,170
28.3,0,146,171
28.4,1,147,172
28.5,0,147,173
28.6,1,148,174
29.1,0,148,175
29.2,0,148,176
29.3,0,148,177
29.4,0,148,178
29.5,1,149,179
29.6,3,152,180
30.1,1,153,181
30.2,0,153,182
30.3,1,154,183
30.4,0,154,184
30.5,0,154,185
30.6,1,155,186
31.1,4,159,187
31.2,4,163,188
31.3,1,164,189
31.4,0,164,190
31.5,1,165,191
31.6,1,166,192
32.1,2,168,193
32.2,1,169,194
32.3,2,171,195
32.4,4,175,196
32.5,1,176,197
32.6,1,177,198
33.1,1,178,199
33.2,1,179,200
33.3,1,180,201
33.4,1,181,202
33.5,1,182,203
33.6,1,183,204
34.1,0,183,205
34.2,1,184,206
34.3,0,184,207
34.4,2,186,208
34.5,1,187,209
34.6,1,188,210
35.1,0,188,211
35.2,0,188,212
35.3,4,192,213
35.4,1,193,214
35.5,1,194,215
35.6,4,198,216
36.1,,198,217
36.2,3,201,218
36.3,1,202,219
36.4,0,202,220
36.5,0,202,221
36.6,2,204,222
37.1,0,204,223
37.2,1,205,224
37.3,0,205,225
37.4,1,206,226
37.5,0,206,227
37.6,4,210,228
38.1,0,210,229
38.2,4,214,230
38.3,4,218,231
38.4,4,222,232
38.5,2,224,233
38.6,2,226,234
39.1,,226,235
39.2,2,228,236
39.3,3,231,237
39.4,2,233,238
39.5,1,234,239
39.6,0,234,240
40.1,0,234,241
40.2,1,235,242
40.3,1,236,243
40.4,2,238,244
40.5,4,242,245
40.6,1,243,246
41.1,0,243,247
41.2,1,244,248
41.3,1,245,249
41.4,2,247,250
41.5,4,251,251
41.6,1,252,252
42.1,1,253,253
42.2,0,253,254
42.3,1,254,255
42.4,1,255,256
42.5,1,256,257
42.6,1,257,258
43.1,1,258,259
43.2,4,262,260
43.3,0,262,261
43.4,1,263,262
43.5,1,264,263
43.6,0,264,264
44.1,0,264,265
44.2,1,265,266
44.3,2,267,267
44.4,1,268,268
44.5,0,268,269
44.6,1,269,270
45.1,0,269,271
45.2,1,270,272
45.3,4,274,273
45.4,2,276,274
45.5,,276,275
45.6,0,276,276
46.1,1,277,277
46.2,1,278,278
46.3,4,282,279
46.4,1,283,280
46.5,1,284,281
46.6,1,285,282
47.1,1,286,283
47.2,1,287,284
47.3,1,288,285
47.4,0,288,286
47.5,1,289,287
47.6,1,290,288
48.1,1,291,289
48.2,1,292,290
48.3,1,293,291
48.4,2,295,292
48.5,0,295,293
48.6,1,296,294
49.1,0,296,295
49.2,4,300,296
49.3,1,301,297
49.4,1,302,298
49.5,1,303,299
49.6,0,303,300
50.1,6,309,301
50.2,0,309,302
50.3,1,310,303
50.4,4,314,304
50.5,0,314,305
50.6,1,315,306
