Ball,Runs ,Cumulated runs,Balls
0.1,1,1,1
0.2,1,2,2
0.3,0,2,3
0.4,0,2,4
0.5,0,2,5
0.6,0,2,6
1.1,0,2,7
1.2,2,4,8
1.3,0,4,9
1.4,0,4,10
1.5,1,5,11
1.6,0,5,12
2.1,0,5,13
2.2,0,5,14
2.3,0,5,15
2.4,0,5,16
2.5,0,5,17
2.6,0,5,18
3.1,0,5,19
3.2,0,5,20
3.3,0,5,21
3.4,0,5,22
3.5,0,5,23
3.6,0,5,24
4.1,1,6,25
4.2,0,6,26
4.3,0,6,27
4.4,0,6,28
4.5,0,6,29
4.6,0,6,30
5.1,0,6,31
5.2,0,6,32
5.3,0,6,33
5.4,0,6,34
5.5,4,10,35
5.6,0,10,36
6.1,0,10,37
6.2,0,10,38
6.3,0,10,39
6.4,0,10,40
6.5,0,10,41
6.6,0,10,42
7.1,0,10,43
7.2,0,10,44
7.3,1,11,45
7.4,2,13,46
7.5,0,13,47
7.6,0,13,48
8.1,0,13,49
8.2,0,13,50
8.3,0,13,51
8.4,0,13,52
8.5,4,17,53
8.6,2,19,54
9.1,0,19,55
9.2,4,23,56
9.3,1,24,57
9.4,0,24,58
9.5,0,24,59
9.6,0,24,60
10.1,0,24,61
10.2,0,24,62
10.3,1,25,63
10.4,0,25,64
10.5,1,26,65
10.6,4,30,66
11.1,0,30,67
11.2,4,34,68
11.3,0,34,69
11.4,1,35,70
11.5,0,35,71
11.6,0,35,72
12.1,1,36,73
12.2,1,37,74
12.3,0,37,75
12.4,0,37,76
12.5,0,37,77
12.6,0,37,78
13.1,1,38,79
13.2,0,38,80
13.3,4,42,81
13.4,0,42,82
13.5,0,42,83
13.6,0,42,84
14.1,0,42,85
14.2,1,43,86
14.3,0,43,87
14.4,0,43,88
14.5,0,43,89
14.6,0,43,90
15.1,2,45,91
15.2,0,45,92
15.3,1,46,93
15.4,0,46,94
15.5,0,46,95
15.6,1,47,96
16.1,1,48,97
16.2,0,48,98
16.3,1,49,99
16.4,0,49,100
16.5,1,50,101
16.6,1,51,102
17.1,0,51,103
17.2,3,54,104
17.3,2,56,105
17.4,2,58,106
17.5,1,59,107
17.6,1,60,108
18.1,0,60,109
18.2,2,62,110
18.3,0,62,111
18.4,0,62,112
18.5,0,62,113
18.6,0,62,114
19.1,0,62,115
19.2,0,62,116
19.3,2,64,117
19.4,1,65,118
19.5,0,65,119
19.6,5,70,120
20.1,0,70,121
20.2,0,70,122
20.3,0,70,123
20.4,0,70,124
20.5,0,70,125
20.6,0,70,126
21.1,0,70,127
21.2,0,70,128
21.3,1,71,129
21.4,0,71,130
21.5,0,71,131
21.6,0,71,132
22.1,0,71,133
22.2,0,71,134
22.3,0,71,135
22.4,0,71,136
22.5,0,71,137
22.6,0,71,138
23.1,0,71,139
23.2,0,71,140
23.3,1,72,141
23.4,0,72,142
23.5,1,73,143
23.6,2,75,144
24.1,0,75,145
24.2,1,76,146
24.3,0,76,147
24.4,0,76,148
24.5,0,76,149
24.6,1,77,150
25.1,2,79,151
25.2,0,79,152
25.3,0,79,153
25.4,0,79,154
25.5,1,80,155
25.6,0,80,156
26.1,0,80,157
26.2,1,81,158
26.3,0,81,159
26.4,0,81,160
26.5,0,81,161
26.6,1,82,162
27.1,0,82,163
27.2,0,82,164
27.3,0,82,165
27.4,1,83,166
27.5,0,83,167
27.6,0,83,168
28.1,0,83,169
28.2,2,85,170
28.3,0,85,171
28.4,0,85,172
28.5,0,85,173
28.6,0,85,174
29.1,0,85,175
29.2,1,86,176
29.3,0,86,177
29.4,2,88,178
29.5,3,91,179
29.6,1,92,180
30.1,0,92,181
30.2,0,92,182
30.3,0,92,183
30.4,1,93,184
30.5,0,93,185
30.6,1,94,186
31.1,0,94,187
31.2,1,95,188
31.3,1,96,189
31.4,0,96,190
31.5,1,97,191
31.6,0,97,192
32.1,0,97,193
32.2,0,97,194
32.3,6,103,195
32.4,1,104,196
32.5,0,104,197
32.6,2,106,198
33.1,2,108,199
33.2,0,108,200
33.3,4,112,201
33.4,0,112,202
33.5,1,113,203
33.6,1,114,204
34.1,1,115,205
34.2,1,116,206
34.3,0,116,207
34.4,2,118,208
34.5,1,119,209
34.6,0,119,210
35.1,1,120,211
35.2,1,121,212
35.3,1,122,213
35.4,0,122,214
35.5,1,123,215
35.6,0,123,216
36.1,1,124,217
36.2,0,124,218
36.3,1,125,219
36.4,0,125,220
36.5,1,126,221
36.6,0,126,222
37.1,0,126,223
37.2,4,130,224
37.3,0,130,225
37.4,0,130,226
37.5,0,130,227
37.6,1,131,228
38.1,1,132,229
38.2,1,133,230
38.3,1,134,231
38.4,6,140,232
38.5,0,140,233
38.6,1,141,234
39.1,4,145,235
39.2,0,145,236
39.3,0,145,237
39.4,1,146,238
39.5,1,147,239
39.6,3,150,240
40.1,0,150,241
40.2,2,152,242
40.3,1,153,243
40.4,0,153,244
40.5,6,159,245
40.6,0,159,246
41.1,0,159,247
41.2,0,159,248
41.3,1,160,249
41.4,4,164,250
41.5,2,166,251
41.6,2,168,252
42.1,1,169,253
42.2,0,169,254
42.3,0,169,255
42.4,1,170,256
42.5,0,170,257
42.6,1,171,258
43.1,2,173,259
43.2,0,173,260
43.3,0,173,261
43.4,2,175,262
43.5,1,176,263
43.6,2,178,264
44.1,0,178,265
44.2,2,180,266
44.3,1,181,267
44.4,6,187,268
44.5,1,188,269
44.6,0,188,270
45.1,2,190,271
45.2,1,191,272
45.3,1,192,273
45.4,4,196,274
45.5,1,197,275
45.6,1,198,276
46.1,1,199,277
46.2,0,199,278
46.3,1,200,279
46.4,1,201,280
46.5,1,202,281
46.6,1,203,282
47.1,2,205,283
47.2,1,206,284
47.3,1,207,285
47.4,1,208,286
47.5,0,208,287
47.6,1,209,288
48.1,6,215,289
48.2,0,215,290
48.3,0,215,291
48.4,0,215,292
48.5,1,216,293
48.6,0,216,294
49.1,4,220,295
49.2,0,220,296
49.3,0,220,297
